Kabupaten,Jumlah_Hotspot,Rata_Confidence,Latitude,Longitude,Total_Luas_Ha,Jumlah_Kejadian,Rata_Luas_Ha,Cluster
 BATU,201,2.029850746268657,-7.760828059701493,112.56565452736318,0.0,0.0,0.0,2
 KEDIRI,197,1.7563451776649746,-7.811082385786802,112.01513370558376,0.0,0.0,0.0,2
 MADIUN,13,1.7692307692307692,-7.635756153846154,111.52034,0.0,0.0,0.0,2
 MALANG,14,1.7857142857142858,-7.988069285714286,112.63366357142856,0.0,0.0,0.0,2
 MOJOKERTO,24,1.9583333333333333,-7.467230833333333,112.4479125,0.0,0.0,0.0,2
 PASURUAN,21,1.9523809523809523,-7.659688095238096,112.9027238095238,0.0,0.0,0.0,2
 PROBOLINGGO,9,2.0,-7.758908888888889,113.21531555555556,0.0,0.0,0.0,2
 SURABAYA,250,1.9,-7.266057399999999,112.68872216,0.0,0.0,0.0,2
BANGKALAN,454,1.8105726872246697,-7.086733215859031,112.9138295814978,34.5,15.0,2.3,2
BANYUWANGI,1967,1.920183019827148,-8.215601809862735,114.2144788205389,14.0,3.0,4.666666666666667,1
BLITAR,599,1.881469115191987,-8.208066243739566,112.20035123539232,5.1,8.0,0.6375,2
BOJONEGORO,3677,1.8781615447375577,-7.269142488441664,111.73549595322274,76.95,36.0,2.1375,3
BONDOWOSO,2278,1.9433713784021072,-7.982872067603161,114.03095324846356,185.5,49.0,3.7857142857142856,3
GRESIK,1000,1.82,-7.18565576,112.56272405,0.0,0.0,0.0,2
JEMBER,1125,1.9262222222222225,-8.270787457777777,113.62618178666666,0.0,0.0,0.0,2
JOMBANG,1149,1.9373368146214096,-7.544667345517842,112.28917578764144,83.95,15.0,5.596666666666667,3
KEDIRI,1100,1.93,-7.812837827272728,112.10528777272728,34.1,11.0,3.1,2
LAMONGAN,1271,1.7962234461054287,-7.131375452399685,112.2931533674272,0.0,0.0,0.0,2
LUMAJANG,4755,1.99726603575184,-8.122255276550998,112.99462798107255,0.0,0.0,0.0,1
MADIUN,1395,1.7842293906810036,-7.596130931899642,111.69481729032258,198.98,71.0,2.802535211267606,3
MAGETAN,590,1.96271186440678,-7.651608661016948,111.3104586440678,0.0,0.0,0.0,2
MALANG,4996,2.0302241793434748,-8.104664559647718,112.86188317654124,42.0,4.0,10.5,1
MOJOKERTO,1629,1.92694904849601,-7.549554757519951,112.47670366482504,11.6,5.0,2.32,2
NGANJUK,1916,1.850730688935282,-7.582074979123174,111.91561146659708,19.5,11.0,1.7727272727272727,2
NGAWI,1475,1.8861016949152545,-7.41486486101695,111.29169334237288,115.72,44.0,2.63,3
PACITAN,130,1.9538461538461536,-8.112612692307692,111.13134169230769,0.0,0.0,0.0,2
PAMEKASAN,116,1.8103448275862069,-7.021279396551724,113.51663379310344,0.0,0.0,0.0,2
PASURUAN,1630,1.9325153374233128,-7.76065782208589,112.7824327177914,28.5,4.0,7.125,1
PONOROGO,1062,1.8408662900188324,-7.908211167608286,111.44223672316384,0.0,0.0,0.0,2
PROBOLINGGO,1655,1.980060422960725,-7.906766235649546,113.30711591540786,52.67,9.0,5.852222222222222,1
SAMPANG,159,1.830188679245283,-7.0856396226415095,113.24885716981132,0.0,0.0,0.0,2
SIDOARJO,919,1.897714907508161,-7.454679162132753,112.63832891186073,0.0,0.0,0.0,2
SITUBONDO,5501,1.8825668060352665,-7.793639165606254,114.15108932012362,0.0,0.0,0.0,1
SUMENEP,862,1.7993039443155452,-7.06956969837587,114.83532738979116,0.0,0.0,0.0,2
TRENGGALEK,57,1.947368421052632,-8.078117192982456,111.69436508771928,0.0,0.0,0.0,2
TUBAN,1871,1.8781400320684123,-6.877706210582576,111.90739424906468,103.4,42.0,2.461904761904762,3
TULUNGAGUNG,242,1.888429752066116,-8.098536446280992,111.89597574380166,0.0,0.0,0.0,2
