Tanggal,Jumlah_Hotspot
2021-01-31,11
2021-02-28,12
2021-03-31,16
2021-04-30,11
2021-05-31,35
2021-06-30,31
2021-07-31,19
2021-08-31,0
2021-09-30,27
2021-10-31,50
2021-11-30,7
2021-12-31,38
2022-01-31,17
2022-02-28,129
2022-03-31,119
2022-04-30,242
2022-05-31,488
2022-06-30,555
2022-07-31,402
2022-08-31,528
2022-09-30,1037
2022-10-31,165
2022-11-30,75
2022-12-31,80
2023-01-31,88
2023-02-28,38
2023-03-31,282
2023-04-30,213
2023-05-31,739
2023-06-30,1702
2023-07-31,2715
2023-08-31,4304
2023-09-30,4723
2023-10-31,4298
2023-11-30,989
2023-12-31,375
2024-01-31,122
2024-02-29,199
2024-03-31,148
2024-04-30,134
2024-05-31,437
2024-06-30,1080
2024-07-31,1963
2024-08-31,5234
2024-09-30,3350
2024-10-31,1814
2024-11-30,315
2024-12-31,53
2025-01-31,32
2025-02-28,78
2025-03-31,123
2025-04-30,262
2025-05-31,202
2025-06-30,362
2025-07-31,877
2025-08-31,1584
2025-09-30,1846
2025-10-31,1083
2025-11-30,174
2025-12-31,277
